GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-2073844,-2237321,-2345529,-2561414,-2764342,-2826448,-3093882,-3402000,-3601829,-4185353,-5049904,-5196823,-5088234,-5090974,-5588404,-5426385,-5697144,-6110632,-6077682,-5472377,-5996489,-6648946,-7380130,-7341547,-6940150,-7815416,-8638727,-9245418,-10530487
 "26000","Michigan",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1321747,1376057,1525812,1654033,1856333,1967184,2075458,2261921,2448939,2647068,2836541,2847110,2910588,3001951,3147978,3248644,3378732,3458208,3402587,3144245,3302554,3612049,3925561,4032494,4277913,4451738,4644037,4843990,4991954
 "26000","Michigan",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",863726,888447,973653,1026420,1102761,1170369,1252955,1352700,1456089,1566584,1738481,1658470,1693715,1729722,1779430,1803948,1748069,1781411,1720513,1627300,1723253,1884626,2014204,2113688,2202866,2356137,2424234,2513038,2624153
 "26000","Michigan",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640,1216873,1272229,1368548,1444696,1630663,1676797,1682074,1516945,1579301,1727423,1911357,1918806,2075047,2095601,2219803,2330952,2367801
 "27000","Minnesota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",728059,804597,911091,991009,1074777,1145029,1237733,1333680,1481878,1590063,1751769,1838634,1891526,1972458,2085910,2186809,2331687,2494992,2602234,2601933,2738626,3000226,3293753,3450039,3659734,3773080,3781605,3894009,4059074
 "27000","Minnesota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1199175,1280058,1420374,1506359,1636055,1755085,1922729,2100666,2329093,2541262,2788528,2922528,3003445,3152424,3344137,3507314,3607523,3888047,4023935,3749992,3844622,4143193,4221677,4339870,4580287,4792590,4996633,5148180,5361742
 "27000","Minnesota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-471116,-475461,-509283,-515350,-561278,-610056,-684996,-766986,-847215,-951199,-1036759,-1083894,-1111919,-1179966,-1258227,-1320505,-1275836,-1393055,-1421701,-1148059,-1105996,-1142967,-927924,-889831,-920553,-1019510,-1215028,-1254171,-1302668
 "28000","Mississippi",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1373998,1466103,1579815,1667514,1811311,1946286,2073648,2253571,2473709,2633219,2800261,2962335,3086552,3243580,3461957,3662715,3970774,4265119,4510985,4380739,4467506,4689821,4984551,5053716,5207999,5365894,5462220,5555074,5804087
 "28000","Mississippi",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",624987,662058,756950,828054,973793,1026241,1112088,1141554,1285995,1346693,1322444,1421644,1503153,1576719,1684334,1767267,1858096,1996768,2101756,2014858,2040009,2040965,2134461,2063992,2159402,2169589,2206105,2292105,2389820
 "28000","Mississippi",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989724,3048597,3196305,3256115,3262969,3414267
 "29000","Missouri",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2721990,2906198,3193472,3421040,3711849,3914130,4148907,4469454,4803705,5222918,5659135,5856527,6001960,6188160,6517453,6795365,7196102,7642392,7887303,7497219,7875210,8549360,8922422,9040273,9372329,9818595,9854405,10237230,10691313
 "29000","Missouri",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",5321972,5498070,5909291,6254874,6572004,7024286,7358535,7857706,8354415,8902892,9622901,9875964,10133007,10369931,10799210,11367745,12169571,12479968,13312963,12616405,12802572,12886539,13800488,13763280,14160655,14817080,15138534,15795943,16407416
 "29000","Missouri",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4131047,-4181771,-4281757,-4572380,-4973469,-4837576,-5425660,-5119186,-4927362,-4337179,-4878066,-4723007,-4788326,-4998485,-5284129,-5558713,-5716103
 "30000","Montana",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",35455,37544,39877,42420,46785,50101,54507,59391,64653,69336,76160,79732,80608,82749,87678,92097,100993,111830,127595,131331,171557,286727,474212,559841,664569,544014,374689,417974,493318
 "30000","Montana",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",39815,48968,41916,41670,41548,41607,43100,46282,46836,48011,50168,51872,54309,58752,64333,72280,86370,94895,100438,94254,97266,107009,115856,112814,117067,115945,102998,105424,114175
 "30000","Montana",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26299,23997,23345,19817,14623,16935,27157,37077,74291,179718,358356,447027,547502,428069,271691,312550,379143
 "31000","Nebraska",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",277790,294036,319923,340143,388729,427811,477271,493611,546546,568867,613585,641735,661487,683988,730934,781810,868880,885108,910695,894647,931475,985932,1107664,1196664,1344522,1373258,1377053,1375154,1486172
 "31000","Nebraska",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",668857,720939,790840,826674,890719,975417,1076358,1170380,1260882,1368547,1481146,1516481,1563871,1621840,1674951,1722787,1725140,1832438,1890173,1851516,1829669,1949140,2106174,2165543,2280980,2382208,2441823,2589696,2653381
 "31000","Nebraska",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-391067,-426903,-470917,-486531,-501990,-547606,-599087,-676769,-714336,-799680,-867561,-874746,-902384,-937852,-944017,-940977,-856260,-947330,-979478,-956869,-898194,-963208,-998510,-968879,-936458,-1008950,-1064770,-1214542,-1167209
 "32000","Nevada",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",186211,224954,300672,310142,349961,404673,452311,544945,594854,644638,758236,810331,841985,897534,979130,1057381,1153497,1239492,1261400,1175704,1201567,1276068,1346243,1426825,1489478,1622883,1698040,1792840,1928476
 "32000","Nevada",8,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",562737,570431,605784,653905,703617,753432,820404,872968,944621,1026592,1096396,1164574,1205558,1307293,1473410,1606216,1627420,1639285,1581938,1483405,1453347,1421436,1503016,1563050,1666355,1747726,1911443,1962878,2150409
 "32000","Nevada",8,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136225,-176877,-124843,-213403,-170038,-221933
 "33000","New Hampshire",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",3209997,3333382,3480573,3658254,3845719,3946313,4210374,4591782,4986043,5541830,6380938,6553823,6457191,6569996,7026017,7164771,7516439,8039818,8305308,7700948,8248363,8823841,9299090,9077465,9135218,9918415,10500557,10783582,11579268
